,Time,EMG_zyg,EMG_cor
15349,7.675,-0.036315918,-0.014953613
15350,7.6755,-0.03692627,-0.011291504
15351,7.676,-0.044555664,-0.009765625
15352,7.6765,-0.055236816,-0.010986328
15353,7.677,-0.053100586,-0.012207031
15354,7.6775,-0.046691895,-0.010681152
15355,7.678,-0.047302246,-0.008850098
15356,7.6785,-0.044250488,-0.007324219
15357,7.679,-0.0390625,-0.010070801
15358,7.6795,-0.037536621,-0.010681152
15359,7.68,-0.028686523,-0.011291504
15360,7.6805,-0.013122559,-0.011901855
15361,7.681,-0.006103516,-0.013427734
15362,7.6815,0.008850098,-0.014648438
15363,7.682,0.018005371,-0.011901855
15364,7.6825,0.025634766,-0.013427734
15365,7.683,0.027770996,-0.009460449
15366,7.6835,0.03326416,-0.005187988
15367,7.684,0.038757324,0.000915527
15368,7.6845,0.040893555,0.003051758
15369,7.685,0.034484863,0.004577637
15370,7.6855,0.031433105,0.006103516
15371,7.686,0.040588379,0.008239746
15372,7.6865,0.046691895,0.011901855
15373,7.687,0.040283203,0.011291504
15374,7.6875,0.033569336,0.010375977
15375,7.688,0.033874512,0.008850098
15376,7.6885,0.03112793,0.008544922
15377,7.689,0.028076172,0.005493164
15378,7.6895,0.027160645,0.003051758
15379,7.69,0.019836426,0.000915527
15380,7.6905,0.009460449,-0.002441406
15381,7.691,0.001220703,-0.005187988
15382,7.6915,-0.00579834,-0.007019043
15383,7.692,-0.012817383,-0.008544922
15384,7.6925,-0.019836426,-0.011901855
15385,7.693,-0.024719238,-0.016784668
15386,7.6935,-0.026550293,-0.016784668
15387,7.694,-0.029296875,-0.016784668
15388,7.6945,-0.02532959,-0.015869141
15389,7.695,-0.020446777,-0.014038086
15390,7.6955,-0.018310547,-0.010375977
15391,7.696,-0.025634766,-0.010375977
15392,7.6965,-0.035400391,-0.006408691
15393,7.697,-0.032653809,-0.001525879
15394,7.6975,-0.028381348,0.000610352
15395,7.698,-0.028076172,0.0
15396,7.6985,-0.02746582,0.000610352
15397,7.699,-0.030822754,0.00213623
15398,7.6995,-0.030212402,0.004577637
15399,7.7,-0.023193359,0.007019043
15400,7.7005,-0.020751953,0.005187988
15401,7.701,-0.013427734,0.003051758
15402,7.7015,-0.003967285,0.004272461
15403,7.702,0.00579834,0.003967285
15404,7.7025,0.013122559,0.004272461
15405,7.703,0.014343262,0.004882813
15406,7.7035,0.018005371,0.003967285
15407,7.704,0.025024414,0.000610352
15408,7.7045,0.026550293,-0.004272461
15409,7.705,0.023803711,-0.010375977
15410,7.7055,0.024414063,-0.009460449
15411,7.706,0.037841797,-0.004272461
15412,7.7065,0.047912598,0.001525879
15413,7.707,0.04119873,0.00213623
15414,7.7075,0.032653809,0.003051758
15415,7.708,0.030822754,0.005187988
15416,7.7085,0.024108887,0.004577637
15417,7.709,0.01953125,0.005187988
15418,7.7095,0.020751953,0.007324219
15419,7.71,0.013122559,0.005493164
15420,7.7105,0.003356934,0.003356934
15421,7.711,-0.004882813,0.003051758
15422,7.7115,-0.007629395,0.003662109
15423,7.712,-0.00579834,0.005493164
15424,7.7125,-0.006103516,0.007019043
15425,7.713,-0.003967285,0.008239746
15426,7.7135,-0.007629395,0.010375977
15427,7.714,-0.01739502,0.010375977
15428,7.7145,-0.022888184,0.008544922
15429,7.715,-0.026550293,0.005187988
15430,7.7155,-0.031433105,0.00213623
15431,7.716,-0.040893555,-0.001831055
15432,7.7165,-0.051574707,-0.004882813
15433,7.717,-0.045776367,-0.006408691
15434,7.7175,-0.045776367,-0.007324219
15435,7.718,-0.044555664,-0.011291504
15436,7.7185,-0.036010742,-0.015258789
